#{"t_start": 1747857828.8649297, "env_id": "LunarLander-v2"}
r,l,t
-61.027076,70,234.728202
-104.492632,78,235.476277
-100.386254,76,236.210676
-72.795804,59,236.769675
-127.102406,99,237.74048
-122.895043,67,238.383976
-82.580664,69,239.036671
-96.185051,67,239.676463
-120.66959,65,240.295482
-83.792699,117,241.404891
-125.744888,109,242.479132
-69.729161,79,243.23332
-100.058556,104,244.220788
-159.663832,64,244.828476
-63.189106,109,245.866073
-293.564424,112,246.947312
-180.79297,70,247.636499
-104.552758,88,248.472048
-82.905301,78,249.210433
-91.197409,113,250.28599
-160.692814,92,251.172243
-66.650847,78,251.945197
-82.325161,91,252.835969
-53.872851,61,253.410403
-99.006488,91,254.282114
-173.703454,138,255.599806
-94.380069,92,256.493886
-110.064134,85,257.346844
-98.536897,105,258.3426
-197.509613,132,259.598363
-85.844831,70,260.259038
-169.949306,96,261.167534
-103.09646,144,262.627012
-92.775446,126,263.81944
-85.902513,63,264.418085
-107.185167,115,265.50375
-252.064116,125,266.724204
-129.614943,102,267.711876
-148.905517,124,268.905332
-172.104429,75,269.62168
-89.050992,98,270.618595
-73.122339,77,271.35028
-113.731325,92,272.232667
-58.084405,65,272.855203
-145.447777,61,273.443252
-119.658733,105,274.478503
-120.038943,102,275.502508
-64.575474,71,276.179905
-122.734682,83,276.971539
-93.882742,90,277.854913
-127.753417,84,278.702858
-99.876003,80,279.505974
-96.040904,96,280.41688
-105.315457,134,281.68366
-122.791023,97,282.605902
-97.998532,80,283.40761
-96.277053,92,284.301246
-127.377309,94,285.192625
-132.97156,64,285.802245
-95.145111,84,286.593971
-165.294515,77,287.33035
-70.013974,71,288.029917
-74.605821,120,289.188128
-602.953262,134,290.477736
-118.780768,84,291.281007
-105.820729,92,292.163226
-121.137228,86,293.014945
-95.513451,101,293.989451
-181.236601,100,294.940718
-84.091222,117,296.056997
-76.217568,71,296.726851
-304.932517,106,297.746608
-91.182492,78,298.515332
-62.970427,65,299.138072
-127.739958,112,300.206004
-178.17897,107,301.226502
-109.952127,99,302.165707
-62.737192,117,303.327782
-111.512372,86,304.133002
-85.957558,96,305.042192
-74.352534,120,306.169328
-81.939538,118,307.286761
-95.361697,105,308.321061
-128.478833,95,309.21303
-206.986131,75,309.928769
-88.80833,72,310.611663
-96.395278,122,311.776227
-256.176275,105,312.801111
-89.227898,132,314.055624
-351.319999,141,315.3954
-119.807939,87,316.232125
-100.078633,114,317.326964
-129.055472,106,318.353993
