fact,explanation,gen_time
"[2, 0, 11, 0, 30, 2, 0, 0, 2, 5, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 3, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8.988380432128906e-05
"[2, 2, 25, 4, 30, 11, 0, 0, 11, 9, 30, 4, 0, 0, 4, 0, 30, 2, 9, 0, 11, 3, 30, 6, 5, 0, 11, 0, 30, 3, 2, 0, 5, 1, -3, 0, 1, 779]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0.00011682510375976562
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",8.630752563476562e-05
"[2, 2, 39, 0, 30, 3, 10, 0, 13, 0, 30, 8, 0, 0, 8, 0, 30, 4, 9, 0, 13, 0, 30, 3, 10, 0, 13, 27, 30, 6, 0, 0, 6, 1, -3, 0, 1, 1199]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",8.368492126464844e-05
"[2, 0, 25, 3, 30, 4, 0, 0, 4, 7, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 1, 3, 0, 4, 1, 30, 2, 1, 0, 3, 1, -3, 0, 1, 759]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0.00011467933654785156
"[2, 0, 3, 0, 30, 4, 1, 0, 5, 6, 30, 2, 0, 0, 2, 0, 30, 1, 4, 0, 5, 7, 30, 5, 0, 0, 5, 0, 30, 1, 2, 0, 3, 0, 22, 0, 0, 99]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8.082389831542969e-05
"[2, 4, 24, 4, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 1, 8, 0, 9, 1, 30, 5, 4, 0, 9, 1, 30, 2, 3, 0, 5, 1, -3, 0, 1, 739]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",7.748603820800781e-05
"[2, 0, 29, 2, 30, 11, 1, 0, 12, 3, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 1, 30, 8, 4, 0, 12, 2, 30, 3, 1, 0, 4, 1, -3, 0, 1, 899]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",7.772445678710938e-05
"[2, 1, 5, 7, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 2, 30, 6, 3, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",7.82012939453125e-05
"[2, 4, 7, 1, 30, 1, 2, 0, 3, 1, 30, 0, 0, 0, 0, 0, 30, 0, 3, 0, 3, 6, 30, 1, 2, 0, 3, 2, 30, 0, 0, 0, 0, 0, 22, 0, 0, 219]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",7.724761962890625e-05
